Size,Seed,MatrixOrList,Time
20,0.4,list,0.000993967056274414
20,0.4,list,0.0009090900421142578
20,0.4,list,0.0007538795471191406
20,0.4,list,0.0009887218475341797
20,0.5,list,0.0012638568878173828
20,0.5,list,0.00107574462890625
20,0.5,list,0.001332998275756836
20,0.5,list,0.0011179447174072266
20,0.6,list,0.0015101432800292969
20,0.6,list,0.001516103744506836
20,0.6,list,0.0015599727630615234
20,0.6,list,0.0014820098876953125
20,0.7,list,0.0019681453704833984
20,0.7,list,0.0020208358764648438
20,0.7,list,0.0018029212951660156
20,0.7,list,0.0019021034240722656
20,0.8,list,0.002620220184326172
20,0.8,list,0.00222015380859375
20,0.8,list,0.0019562244415283203
20,0.8,list,0.002213001251220703
40,0.4,list,0.015215158462524414
40,0.4,list,0.01604318618774414
40,0.4,list,0.014432668685913086
40,0.4,list,0.015964031219482422
40,0.5,list,0.01951313018798828
40,0.5,list,0.01972508430480957
40,0.5,list,0.01894521713256836
40,0.5,list,0.020496845245361328
40,0.6,list,0.024661779403686523
40,0.6,list,0.024049043655395508
40,0.6,list,0.02259087562561035
40,0.6,list,0.02210402488708496
40,0.7,list,0.02860713005065918
40,0.7,list,0.0285189151763916
40,0.7,list,0.027625083923339844
40,0.7,list,0.028525114059448242
40,0.8,list,0.03275108337402344
40,0.8,list,0.032591819763183594
40,0.8,list,0.03242063522338867
40,0.8,list,0.03201484680175781
60,0.4,list,0.0731809139251709
60,0.4,list,0.07406497001647949
60,0.4,list,0.08535504341125488
60,0.4,list,0.07655906677246094
60,0.5,list,0.09805107116699219
60,0.5,list,0.09682130813598633
60,0.5,list,0.09442305564880371
60,0.5,list,0.09422421455383301
60,0.6,list,0.12074995040893555
60,0.6,list,0.12166905403137207
60,0.6,list,0.1194150447845459
60,0.6,list,0.1193850040435791
60,0.7,list,0.14123797416687012
60,0.7,list,0.1400303840637207
60,0.7,list,0.14096999168395996
60,0.7,list,0.13898015022277832
60,0.8,list,0.16156005859375
60,0.8,list,0.1694929599761963
60,0.8,list,0.16642403602600098
60,0.8,list,0.1633908748626709
80,0.4,list,0.263599157333374
80,0.4,list,0.24618887901306152
80,0.4,list,0.2482759952545166
80,0.4,list,0.24122905731201172
80,0.5,list,0.31943678855895996
80,0.5,list,0.308351993560791
80,0.5,list,0.3131449222564697
80,0.5,list,0.2971768379211426
80,0.6,list,0.36902499198913574
80,0.6,list,0.36577820777893066
80,0.6,list,0.37682676315307617
80,0.6,list,0.37232422828674316
80,0.7,list,0.4517068862915039
80,0.7,list,0.4612879753112793
80,0.7,list,0.4538869857788086
80,0.7,list,0.4327230453491211
80,0.8,list,0.5049829483032227
80,0.8,list,0.4977381229400635
80,0.8,list,0.49904513359069824
80,0.8,list,0.5053601264953613
100,0.4,list,0.5844871997833252
100,0.4,list,0.5940258502960205
100,0.4,list,0.6049847602844238
100,0.4,list,0.5813868045806885
100,0.5,list,0.7562592029571533
100,0.5,list,0.7421109676361084
100,0.5,list,0.7484450340270996
100,0.5,list,0.763200044631958
100,0.6,list,0.9267971515655518
100,0.6,list,0.8954589366912842
100,0.6,list,0.9035930633544922
100,0.6,list,0.901191234588623
100,0.7,list,1.0617668628692627
100,0.7,list,1.0527451038360596
100,0.7,list,1.0575249195098877
100,0.7,list,1.0868589878082275
100,0.8,list,1.2301418781280518
100,0.8,list,1.2184691429138184
100,0.8,list,1.222397804260254
100,0.8,list,1.2169747352600098
120,0.4,list,1.1795032024383545
120,0.4,list,1.216033935546875
120,0.4,list,1.2373738288879395
120,0.4,list,1.2253713607788086
120,0.5,list,1.5246760845184326
120,0.5,list,1.5550827980041504
120,0.5,list,1.545531988143921
120,0.5,list,1.5550251007080078
120,0.6,list,1.9076590538024902
120,0.6,list,1.8630931377410889
120,0.6,list,1.8747000694274902
120,0.6,list,1.8483240604400635
120,0.7,list,2.2543981075286865
120,0.7,list,2.1544899940490723
120,0.7,list,2.1590640544891357
120,0.7,list,2.1941802501678467
120,0.8,list,2.5472240447998047
120,0.8,list,2.4898998737335205
120,0.8,list,2.5180280208587646
120,0.8,list,2.554701089859009
140,0.4,list,2.2513370513916016
140,0.4,list,2.256377935409546
140,0.4,list,2.194869041442871
140,0.4,list,2.268773078918457
140,0.5,list,2.8039658069610596
140,0.5,list,2.830173969268799
140,0.5,list,2.8886592388153076
140,0.5,list,2.8501951694488525
140,0.6,list,3.4602720737457275
140,0.6,list,3.4797582626342773
140,0.6,list,3.4484033584594727
140,0.6,list,3.4841649532318115
140,0.7,list,3.9556009769439697
140,0.7,list,4.054754972457886
140,0.7,list,4.405097007751465
140,0.7,list,9.543620824813843
140,0.8,list,4.652480125427246
140,0.8,list,4.6965720653533936
140,0.8,list,4.6840150356292725
140,0.8,list,4.63220477104187
160,0.4,list,3.8883919715881348
160,0.4,list,3.8029003143310547
160,0.4,list,3.8599090576171875
160,0.4,list,3.9098358154296875
160,0.5,list,4.881736993789673
160,0.5,list,4.8863139152526855
160,0.5,list,5.01068902015686
160,0.5,list,4.855291843414307
160,0.6,list,5.850843191146851
160,0.6,list,5.948027849197388
160,0.6,list,5.848116874694824
160,0.6,list,5.9130330085754395
160,0.7,list,6.8749611377716064
160,0.7,list,6.947927951812744
160,0.7,list,6.931599140167236
160,0.7,list,6.8829121589660645
160,0.8,list,7.898133039474487
160,0.8,list,7.863515853881836
160,0.8,list,7.996739864349365
160,0.8,list,7.961010932922363
180,0.4,list,6.227938652038574
180,0.4,list,6.244133234024048
180,0.4,list,6.165432691574097
180,0.4,list,6.243393898010254
180,0.5,list,7.826138019561768
180,0.5,list,7.807058095932007
180,0.5,list,7.768021106719971
180,0.5,list,7.817849159240723
180,0.6,list,9.405725002288818
180,0.6,list,9.319453954696655
180,0.6,list,14.717330932617188
180,0.6,list,9.501779079437256
180,0.7,list,10.999456882476807
180,0.7,list,11.01382827758789
180,0.7,list,10.981913089752197
180,0.7,list,11.076089143753052
180,0.8,list,12.565770864486694
180,0.8,list,12.699243068695068
180,0.8,list,12.531438112258911
180,0.8,list,12.582834959030151
200,0.4,list,39.68307971954346
200,0.4,list,9.605293989181519
200,0.4,list,21.706433057785034
200,0.4,list,9.455543756484985
200,0.5,list,11.817902088165283
200,0.5,list,15.041416883468628
200,0.5,list,11.90416693687439
200,0.5,list,11.856709241867065
200,0.6,list,14.326180219650269
200,0.6,list,14.30660891532898
200,0.6,list,14.426074981689453
200,0.6,list,14.54001784324646
200,0.7,list,16.874305248260498
200,0.7,list,17.163392066955566
200,0.7,list,16.98322367668152
200,0.7,list,16.798897981643677
200,0.8,list,19.27508306503296
200,0.8,list,19.17444109916687
200,0.8,list,19.34794282913208
200,0.8,list,19.148788928985596
20,0.4,list,0.0009050369262695312
20,0.4,list,0.0009601116180419922
20,0.4,list,0.0010800361633300781
20,0.4,list,0.0008571147918701172
20,0.4,list,0.0010952949523925781
20,0.4,list,0.0008630752563476562
20,0.4,list,0.0007822513580322266
20,0.4,list,0.0008909702301025391
20,0.5,list,0.0013780593872070312
20,0.5,list,0.0011870861053466797
20,0.5,list,0.0012140274047851562
20,0.5,list,0.0011610984802246094
20,0.5,list,0.0013642311096191406
20,0.5,list,0.001222848892211914
20,0.5,list,0.0010938644409179688
20,0.5,list,0.0014138221740722656
20,0.6,list,0.001583099365234375
20,0.6,list,0.001644134521484375
20,0.6,list,0.001680135726928711
20,0.6,list,0.0015599727630615234
20,0.6,list,0.0013589859008789062
20,0.6,list,0.0015301704406738281
20,0.6,list,0.0014619827270507812
20,0.6,list,0.0018358230590820312
20,0.7,list,0.0018889904022216797
20,0.7,list,0.0019881725311279297
20,0.7,list,0.001825094223022461
20,0.7,list,0.0019421577453613281
20,0.7,list,0.0017750263214111328
20,0.7,list,0.002115011215209961
20,0.7,list,0.0020749568939208984
20,0.7,list,0.0018949508666992188
20,0.8,list,0.002254962921142578
20,0.8,list,0.0023429393768310547
20,0.8,list,0.002142190933227539
20,0.8,list,0.0021750926971435547
20,0.8,list,0.002178668975830078
20,0.8,list,0.0021097660064697266
20,0.8,list,0.002222776412963867
20,0.8,list,0.0021338462829589844
40,0.4,list,0.014954090118408203
40,0.4,list,0.014094829559326172
40,0.4,list,0.014220714569091797
40,0.4,list,0.014022111892700195
40,0.4,list,0.015697956085205078
40,0.4,list,0.014365196228027344
40,0.4,list,0.01613903045654297
40,0.4,list,0.014986038208007812
40,0.5,list,0.01993107795715332
40,0.5,list,0.01953601837158203
40,0.5,list,0.018456220626831055
40,0.5,list,0.018688678741455078
40,0.5,list,0.019162893295288086
40,0.5,list,0.019122838973999023
40,0.5,list,0.019791841506958008
40,0.5,list,0.019922256469726562
40,0.6,list,0.023069143295288086
40,0.6,list,0.023632287979125977
40,0.6,list,0.023890972137451172
40,0.6,list,0.02255105972290039
40,0.6,list,0.02240896224975586
40,0.6,list,0.02399611473083496
40,0.6,list,0.02417278289794922
40,0.6,list,0.022938966751098633
40,0.7,list,0.028712749481201172
40,0.7,list,0.027548789978027344
